Afghanistan,Áp-ga-ni-xtan
Guinea-Bissau,Ghi-nê Bít-xao
Guyana,Guy-a-na
Haiti,Ha-i-ti
Holy See,Thành va-ti-can
Honduras,Hôn-đu-rát
Hungary,Hung-ga-ri
Iceland,Ai-xơ-len
India,Ấn Độ
Indonesia,In-đô-nê-xi-a
Iran,I-ran
Iraq,I-rắc
Ireland,Ai-len
Israel,Ix-ra-en
Italy,Ý (I-ta-li-a)
Jamaica,Gia-mai-ca
Japan,Nhật Bản
Jordan,Gioóc-đa-ni
Kazakhstan,Cư-rơ-gư-dơ-xtan
Kenya,Kê-ni-a
Kiribati,Kiribati
Kuwait,Cô-oét
Kyrgyzstan,Ca-dắc-xtan
Laos,Lào
Latvia,Lát-vi-a
Lebanon,Li-băng
Lesotho,Lê-xô-thô
Liberia,Liberia
Libya,Li-bi
Liechtenstein,Lít-ten-xơ-tên
Lithuania,Lít-va
Luxembourg,Lúc-xăm-bua
Madagascar,Ma-đa-gát-xca
Malawi,Ma-rốc
Malaysia,Ma-lai-xi-a
Maldives,Man-đi-vơ
Mali,Ma-li
Malta,Man-ta
Marshall Islands,Đảo Mác-san
Mauritania,Mô-ri-ta-ni
Mauritius,Mô-ri-xơ
Mexico,Mê-hi-cô
Micronesia,Mai-crô-nê-xi-a
Moldova,Môn-đô-va
Monaco,Mô-na-cô
Mongolia,Mông Cổ
Montenegro,Môn-tê-nê-grô
Morocco,Ma-rốc
Mozambique,Mô-dăm-bích
Myanmar,Mi-an-ma
Namibia,Nam-mi-bi-a
Nauru,Na-u-ru
Nepal,Nê-pan
Netherlands,Hà Lan
New Zealand,Niu Di-lân
Nicaragua,Ni-ca-ra-goa
Niger,Ni-giê
Nigeria,Ni-giê-ri-a
North Korea,Triều Tiên
North Macedonia,Bắc Ma-xê-đô-ni-a
Norway,Na Uy
Oman,Ô-man
Pakistan,Pa-ki-xtan
Palau,Pa-lau
Panama,Pa-na-ma
Papua New Guinea,Pa-pu-a Niu Ghi-nê
Paraguay,Pa-ra-goay
Peru,Pê-ru
Philippines,Phi-líp-pin
Poland,Ba Lan
Portugal,Bồ Đào Nha
Qatar,Ca-ta
Romania,Ru-ma-ni
Russia,Nga
Rwanda,Ru-an-đa
Saint Kitts & Nevis,Xanh Kít và Nê-vi
Saint Lucia,Xanh Lu-xi-a
Samoa,Xa-moa
San Marino,San Ma-ri-nô
Sao Tome & Principe,Sao Tô-mê và Prin-xi-pê
Saudi Arabia,Ả Rập Xê-út
Senegal,Xê-nê-gan
Serbia,Xéc-bi-a
Seychelles,Xây-sen
Sierra Leone,Si-ê-ra Lê-ôn
Singapore,Xinh-ga-po
Slovakia,Xlô-va-ki-a
Slovenia,Xlô-ven-ni-a
Solomon Islands,Quần đảo Sô-lô-môn
Somalia,Xô-ma-li
South Africa,Nam Phi
South Korea,Hàn Quốc
South Sudan,Nam Sudan
Spain,Tây Ban Nha
Sri Lanka,Xri Lan-ca
St. Vincent & Grenadines,Xanh Vin-xen và Grê-na-din
State of Palestine,Pa-le-xtin
Sudan,Xu-đăng
Suriname,Xu-ri-nam
Sweden,Thụy Điển
Switzerland,Thụy sĩ
Syria,Xy-ri
Tajikistan,Tát-gi-ki-xtan
Tanzania,Tan-da-ni-a
Thailand,Thái Lan
Timor-Leste,Đông Timor
Togo,Tô-gô
Tonga,Tôn-ga
Trinidad and Tobago,Tri-ni-đát và Tô-ba-gô
Tunisia,Tuy-ni-di
Turkey,Thổ Nhĩ Kỳ
Turkmenistan,Tuốc-mê-ni-xtan
Tuvalu,Tu-va-lu
Uganda,U-gan-đa
Ukraine,U-crai-na
United Arab Emirates,Các Tiểu Vương Quốc Ả Rập Thống Nhất
United Kingdom,Vương quốc Anh
United States,Hoa Kỳ
Uruguay,U-ru-goay
Uzbekistan,U-dơ-bê-ki-xtan
Vanuatu,Va-nu-a-tu
Venezuela,Vê-nê-du-ê-la
Vietnam,Việt Nam
Yemen,Y-ê-men
Zambia,Dăm-bi-a
Zimbabwe,Dim-ba-bu-ê
